1.32626	77.1429	736.039	0	3021	4555	155.415
1.32626	72	736.155	1	3021	4555	75.6799
1.32626	72	736.155	2	3021	4555	84.7802
1.32626	77.1429	736.039	3	3021	4555	175.749
1.36497	86	713.339	0	3131	4556	108.726
1.36497	86	713.339	1	3131	4556	87.5163
1.36497	94.9091	713.356	2	3131	4556	134.997
1.36497	83.25	713.227	3	3131	4556	153.862
1.40399	98.1818	690.925	0	3240	4557	55.5631
1.40399	98	691.155	1	3240	4557	122.048
1.40399	108	690.704	2	3240	4557	143.7
1.40399	108	690.704	3	3240	4557	180.308
1.44289	117	670.413	0	3349	4558	75.9868
1.44289	117.818	670.118	1	3349	4558	103.628
1.44289	126	669.601	2	3349	4558	193.01
1.44289	112.8	669.655	3	3349	4558	135.193
1.48201	121.765	650.074	0	3458	4559	34.5238
1.48201	130.737	650.079	1	3458	4559	116.204
1.48201	135	650.122	2	3458	4559	215.942
1.48201	130.737	650.079	3	3458	4559	135.884
1.52123	118.125	630.541	0	3568	4560	18.1489
1.52123	144	630.643	1	3568	4560	129.94
1.52123	153	630.643	2	3568	4560	244.065
1.52123	148.696	630.607	3	3568	4560	99.5908
1.56031	180	611.975	0	3677	4561	54.3069
1.56031	180	611.975	1	3677	4561	111.051
1.56031	171	611.975	2	3677	4561	217.827
1.56031	180	611.975	3	3677	4561	73.2256
1.59954	224.308	594.618	0	3786	4562	80.9564
1.59954	210.706	594.787	1	3786	4562	84.5588
1.59954	214.615	594.493	2	3786	4562	128.107
1.67742	225	561.653	0	4004	4564	54.2124
1.87188	346.154	491.103	3	3349	4569	46.7674
1.91088	387	478.866	1	3458	4570	56.8048
1.91088	369	478.866	2	3458	4570	80.491
1.91088	378	478.866	3	3458	4570	89.0951
1.95008	436.8	466.746	1	3568	4571	60.1684
1.95008	409.304	466.656	2	3568	4571	113.207
1.95008	408.706	466.548	3	3568	4571	71.287
1.9889	446.727	455.107	1	3677	4572	56.129
1.9889	444.857	455.213	2	3677	4572	122.102
1.9889	432	455.227	3	3677	4572	64.6111
2.02805	461.25	443.763	1	3786	4573	43.6209
2.02805	459	444.128	2	3786	4573	44.2137
2.37925	612	363.614	1	3568	4582	43.7939
2.37925	633.273	363.023	2	3568	4582	59.5605
2.41809	657	355.497	1	3677	4583	29.8482
2.41809	642.462	356.122	2	3677	4583	71.4067
