            306	       -91.5527	        18.1615	            280	190304-10:39
            693	        602.722	         3.9472	            280	190304-10:39
            378	        476.837	        5.28488	            282	190304-10:39
            468	        386.429	        5.17276	            282	190304-10:39
             99	       -312.042	        6.95733	            284	190304-10:39
            162	       -165.939	        3.41278	            286	190304-10:39
            315	         50.354	        4.74735	            286	190304-10:39
            312	        92.0614	        5.79241	            286	190304-10:39
            266	       -91.8918	        14.9571	            290	190304-10:39
            162	       -91.5527	        14.1123	            292	190304-10:39
            468	        480.652	        7.35575	            292	190304-10:39
            693	        614.929	        4.64478	            292	190304-10:39
            711	       -91.5527	         10.244	            292	190304-10:39
            174	       -91.5527	        14.2319	            294	190304-10:39
            513	       -557.709	        3.17137	            294	190304-10:39
            558	       -91.5527	         17.696	            294	190304-10:39
            405	        137.329	        5.82634	            296	190304-10:39
            603	       -187.683	        5.20414	            296	190304-10:39
             72	       -92.1249	        11.4258	            298	190304-10:39
            450	        91.5527	        15.5232	            298	190304-10:39
            549	       -686.646	        3.72193	            298	190304-10:39
             99	       -91.9342	        15.5006	            300	190304-10:39
            693	        71.7163	        3.42458	            300	190304-10:39
          478.8	       -92.1631	         19.234	            302	190304-10:39
            141	       -92.3157	        17.8245	            304	190304-10:39
            702	       -344.849	        6.15856	            304	190304-10:39
            549	       -91.5527	        14.8827	            306	190304-10:39
            252	       -92.3157	        7.45696	            308	190304-10:39
            441	       -92.3157	        16.5614	            308	190304-10:39
            714	       -92.0614	        12.4672	            308	190304-10:39
            711	        335.693	        4.17423	            308	190304-10:39
            162	        311.584	        8.11084	            310	190304-10:39
            495	       -91.9342	        9.96129	            310	190304-10:39
            207	       -91.9342	        15.3618	            312	190304-10:39
            315	        278.473	        5.90279	            312	190304-10:39
            459	       -416.565	         4.3509	            314	190304-10:39
            675	       -547.791	        4.39219	            314	190304-10:39
             99	        312.042	        6.80184	            316	190304-10:39
            243	       -395.966	        4.28775	            316	190304-10:39
            333	       -92.3157	        14.7243	            316	190304-10:39
            261	       -91.5527	        10.2887	            318	190304-10:39
            369	        360.107	        4.29544	            318	190304-10:39
            450	       -444.412	        4.57103	            318	190304-10:39
            477	        739.288	         6.0722	            318	190304-10:39
            657	       -83.1604	        6.57111	            318	190304-10:39
             63	        312.042	        9.01247	            320	190304-10:39
            432	        91.9342	        7.76116	            320	190304-10:39
             63	       -672.531	        5.38079	            322	190304-10:39
            189	       -91.5527	        17.9924	            324	190304-10:39
            279	        754.547	        3.37643	            324	190304-10:39
            675	        411.224	        6.36021	            324	190304-10:39
            126	       -91.9342	        17.8409	            326	190304-10:39
            432	       -91.9342	        11.7538	            326	190304-10:39
            504	        -91.807	        12.2272	            328	190304-10:39
            108	       -91.9342	        14.3171	            332	190304-10:39
            222	       -91.5527	        15.0102	            334	190304-10:39
            576	       -91.5527	        13.6979	            334	190304-10:39
