0.0650485	0	0.0319696
0.11491	0.00833333	0.0553921
0.120179	0.0166667	0.0582209
0.147475	0.025	0.0708461
0.173279	0.0333333	0.0828437
0.193505	0.0416667	0.0919671
0.209949	0.05	0.0992004
0.236223	0.0583333	0.111276
0.306019	0.0666667	0.141835
0.306751	0.075	0.141835
0.329601	0.0833333	0.151644
0.368922	0.0916667	0.168022
0.383502	0.1	0.174237
0.38877	0.108333	0.176298
0.410581	0.116667	0.185306
0.423835	0.125	0.190583
0.42703	0.133333	0.1922
0.432732	0.141667	0.194216
0.45969	0.15	0.205018
0.480778	0.158333	0.213319
0.608696	0.166667	0.262074
0.618445	0.175	0.265753
0.637521	0.183333	0.272693
0.670994	0.191667	0.284591
0.727334	0.2	0.304685
0.737888	0.208333	0.308152
0.740543	0.216667	0.309188
0.792123	0.225	0.326912
0.833295	0.233333	0.340564
0.861653	0.241667	0.349729
0.886639	0.25	0.357803
0.89542	0.258333	0.360686
1.0749	0.266667	0.415397
1.08276	0.275	0.41773
1.2443	0.283333	0.463015
1.2687	0.291667	0.469417
1.34929	0.3	0.490466
1.35137	0.308333	0.490975
1.35692	0.316667	0.492246
1.38648	0.325	0.499801
1.38674	0.333333	0.499801
1.39247	0.341667	0.501299
1.42084	0.35	0.508229
1.43952	0.358333	0.512876
1.48421	0.366667	0.523708
1.61716	0.375	0.554336
1.6497	0.383333	0.561405
1.70197	0.391667	0.572656
1.71789	0.4	0.576059
1.76288	0.408333	0.585485
1.77313	0.416667	0.587757
1.78764	0.425	0.590631
1.8027	0.433333	0.593688
1.82363	0.441667	0.59793
1.90066	0.45	0.613106
1.90566	0.458333	0.614071
1.91965	0.466667	0.616761
1.9438	0.475	0.62133
1.96282	0.483333	0.624908
1.99395	0.491667	0.630673
2.02129	0.5	0.635804
2.02996	0.508333	0.637257
2.03439	0.516667	0.638162
2.08058	0.525	0.646384
2.10935	0.533333	0.651471
2.13066	0.541667	0.655108
2.14049	0.55	0.656827
2.20265	0.558333	0.667295
2.21517	0.566667	0.669449
2.28358	0.575	0.68049
2.31586	0.583333	0.685558
2.36225	0.591667	0.692855
2.46125	0.6	0.707677
2.51451	0.608333	0.715315
2.51895	0.616667	0.715883
2.57679	0.625	0.723997
2.5842	0.633333	0.725098
2.60862	0.641667	0.728374
2.62982	0.65	0.731209
2.71985	0.658333	0.743025
2.75824	0.666667	0.747983
2.79337	0.675	0.75235
2.85034	0.683333	0.759302
2.88602	0.691667	0.763591
3.04312	0.7	0.781421
3.05796	0.708333	0.782944
3.06042	0.716667	0.783268
3.12621	0.725	0.790296
3.14998	0.733333	0.792691
3.2051	0.741667	0.798408
3.24723	0.75	0.802592
3.25678	0.758333	0.803477
3.26088	0.766667	0.803869
3.28745	0.775	0.806496
3.34768	0.783333	0.812208
3.38966	0.791667	0.816105
3.59517	0.8	0.834079
3.61195	0.808333	0.835399
3.74329	0.816667	0.845896
3.8405	0.825	0.85318
3.94058	0.833333	0.860328
3.9498	0.841667	0.860954
4.12586	0.85	0.872646
4.15107	0.858333	0.874288
4.41139	0.866667	0.889582
4.42939	0.875	0.890569
4.45074	0.883333	0.89171
4.59951	0.891667	0.899466
4.7051	0.9	0.904643
4.78273	0.908333	0.908235
5.24709	0.916667	0.92722
5.86091	0.925	0.946366
6.21423	0.933333	0.955026
6.96	0.941667	0.96895
7.50373	0.95	0.976273
8.87434	0.958333	0.987922
9.64561	0.966667	0.991705
11.1619	0.975	0.99598
11.8442	0.983333	0.997071
