6.00000000000000000000e+02	 8.845e-08	 9.294e-04	 1.089e-07	 1.122e-03	 9.294e-04	 2.848e+01	 1.089e-03	 1.946e+01	 1.089e-07	 1.089e-03	 1.363e-07	 1.448e-03	 1.122e-03	 1.946e+01	 1.448e-03	 2.696e+01
6.30000000000000000000e+02	 8.709e-08	 9.099e-04	 1.111e-07	 1.131e-03	 9.099e-04	 2.793e+01	 1.103e-03	 1.956e+01	 1.111e-07	 1.103e-03	 1.442e-07	 1.511e-03	 1.131e-03	 1.956e+01	 1.511e-03	 2.776e+01
6.60000000000000000000e+02	 8.557e-08	 8.863e-04	 1.132e-07	 1.139e-03	 8.863e-04	 2.731e+01	 1.112e-03	 1.963e+01	 1.132e-07	 1.112e-03	 1.522e-07	 1.576e-03	 1.139e-03	 1.963e+01	 1.576e-03	 2.857e+01
6.90000000000000000000e+02	 8.375e-08	 8.571e-04	 1.149e-07	 1.146e-03	 8.571e-04	 2.662e+01	 1.114e-03	 1.964e+01	 1.149e-07	 1.114e-03	 1.602e-07	 1.642e-03	 1.146e-03	 1.964e+01	 1.642e-03	 2.940e+01
7.20000000000000000000e+02	 8.224e-08	 8.337e-04	 1.169e-07	 1.153e-03	 8.337e-04	 2.604e+01	 1.120e-03	 1.966e+01	 1.169e-07	 1.120e-03	 1.689e-07	 1.711e-03	 1.153e-03	 1.966e+01	 1.711e-03	 3.025e+01
7.50000000000000000000e+02	 7.977e-08	 7.947e-04	 1.177e-07	 1.153e-03	 7.947e-04	 2.522e+01	 1.106e-03	 1.953e+01	 1.177e-07	 1.106e-03	 1.766e-07	 1.774e-03	 1.153e-03	 1.953e+01	 1.774e-03	 3.106e+01
7.80000000000000000000e+02	 7.692e-08	 7.527e-04	 1.179e-07	 1.147e-03	 7.527e-04	 2.439e+01	 1.086e-03	 1.932e+01	 1.179e-07	 1.086e-03	 1.837e-07	 1.829e-03	 1.147e-03	 1.932e+01	 1.829e-03	 3.179e+01
8.10000000000000000000e+02	 7.386e-08	 7.110e-04	 1.176e-07	 1.135e-03	 7.110e-04	 2.359e+01	 1.062e-03	 1.907e+01	 1.176e-07	 1.062e-03	 1.904e-07	 1.879e-03	 1.135e-03	 1.907e+01	 1.879e-03	 3.246e+01
8.40000000000000000000e+02	 7.020e-08	 6.613e-04	 1.163e-07	 1.116e-03	 6.613e-04	 2.268e+01	 1.023e-03	 1.871e+01	 1.163e-07	 1.023e-03	 1.959e-07	 1.922e-03	 1.116e-03	 1.871e+01	 1.922e-03	 3.309e+01
8.70000000000000000000e+02	 6.699e-08	 6.207e-04	 1.155e-07	 1.100e-03	 6.207e-04	 2.192e+01	 9.935e-04	 1.839e+01	 1.155e-07	 9.935e-04	 2.023e-07	 1.970e-03	 1.100e-03	 1.839e+01	 1.970e-03	 3.377e+01
